"x" "y"
-10507198 2055701
-10371944 2082595
-10317054 2094623
-10284992 2117461
-10226854 2107115
-10240555 2107344
-10209882 2091751
-10162664 2112338
-10163895 2141660
-10179515 2141168
-10099891 2198969
NA NA
-10817904 2362591
-10721300 2208018
-10678037 2138425
-10623619 2120235
-10539230 2076567
-10507198 2055701
NA NA
-10813234 2995159
-10878662 2737406
-10885837 2546413
-10838282 2439107
-10848729 2436983
-10854482 2470921
-10876589 2494387
-10817904 2362591
NA NA
-11039831 3069051
-10912459 3005272
-10828510 2991066
-10813234 2995159
NA NA
-11071676 3129335
-11039831 3069051
NA NA
-11247069 3433437
-11168745 3301046
-11074769 3169805
-11071676 3129335
NA NA
-11277340 3456215
-11247069 3433437
NA NA
-9547933 1358579
-9446968 1268036
-9449105 1235223
-9550001 1283332
-9554701 1355702
-9547933 1358579
NA NA
-13601627 6108654
-13623861 6122948
-13629244 6149336
-13645541 6185777
-13639418 6223824
-13665888 6275186
NA NA
-13882961 6173472
-13708621 6136758
-13677049 6127303
-13656575 6081610
-13667833 6076176
-13696463 6001852
-13694519 6004320
-13637033 6089037
-13649495 6063382
-13644023 6039279
-13654043 5991584
-13660198 6000025
-13670742 5988490
-13676181 5994595
-13683880 5973554
-13679925 5966545
-13638766 5991998
-13620149 6023708
-13604753 6104222
-13601627 6108654
NA NA
-13775935 5892071
-13816507 5925312
-13800708 5940531
-13816475 5940709
-13877794 6158020
-13882961 6173472
NA NA
-13803023 5608980
-13796435 5739130
-13790134 5810308
-13736047 5819248
-13808030 5843157
-13804261 5856575
-13795262 5861245
-13775935 5892071
NA NA
-13830545 5129777
-13845725 5196746
-13853430 5314171
-13826462 5371518
-13823096 5418876
-13803023 5608980
NA NA
-13696158 4622874
-13768142 4733417
-13802557 4866909
-13843283 4936709
-13814530 5018367
-13825137 5124970
-13830545 5129777
NA NA
-13552586 4401613
-13585643 4432679
-13624602 4495087
-13623276 4553360
-13594427 4510280
-13591301 4514293
-13614001 4581503
-13530199 4593556
-13543000 4593719
-13578966 4593638
-13609051 4593483
-13633939 4593994
-13641211 4559313
-13686291 4594148
-13679090 4602565
-13696158 4622874
NA NA
-13408090 4089874
-13425713 4139595
-13441638 4186668
-13570834 4374177
-13552586 4401613
NA NA
-13055762 3895746
-13153168 3997961
-13182112 3997807
-13210865 4035103
-13235542 4034996
-13342069 4084321
-13408090 4089874
NA NA
-13037858 3833449
-13055762 3895746
NA NA
-10816385 3008232
-10813234 2995159
NA NA
-10773403 3278736
-10788806 3278280
-10814095 3253313
-10803553 3249079
-10840290 3232309
-10855655 3232381
-10832376 3196887
-10854731 3172283
-10873743 3172175
-10879898 3172319
-10847306 3140210
-10850119 3085212
-10817316 3008197
-10816385 3008232
NA NA
-10775693 3308995
-10773403 3278736
NA NA
-10451288 3470848
-10450236 3494200
-10461462 3462410
-10516970 3446152
-10539230 3446189
-10553517 3446013
-10555743 3473022
-10575687 3454689
-10566044 3414838
-10591396 3383920
-10703026 3329095
-10723807 3329131
-10732864 3330541
-10747954 3330396
-10755219 3330643
-10741583 3298370
-10765118 3297913
-10775693 3308995
NA NA
-10167672 3418283
-10146579 3421723
-10161644 3440148
-10200200 3466257
-10256200 3469320
-10256666 3450955
-10311396 3450882
-10438487 3470274
-10451288 3470848
NA NA
-9953105 3366346
-9950936 3387350
-9997381 3433935
-10024904 3434111
-10045620 3386256
-10070392 3415050
-10083595 3415511
-10109043 3396412
-10122093 3396375
-10167672 3418283
NA NA
-9975091 3438903
-9912349 3389475
-9932663 3386606
-9953105 3366346
NA NA
-10052546 3542422
-10055206 3511403
-9987489 3511013
-9990021 3496732
-9961486 3509834
-9950911 3476152
-9963865 3476373
-9974223 3460663
-9983312 3443630
-9975091 3438903
NA NA
-9973572 3523163
-10052546 3542422
NA NA
-9793856 3590828
-9821779 3551911
-9841411 3552199
-9861202 3552133
-9883309 3551808
-9909319 3551844
-9940674 3551519
-9973572 3523163
NA NA
-9738723 3540346
-9736988 3549302
-9751677 3548902
-9775117 3547328
-9793856 3590828
NA NA
-9623904 3569526
-9682136 3565544
-9690976 3567549
-9701889 3568164
-9738723 3540346
NA NA
-9256555 3413990
-9356558 3516518
-9372630 3516371
-9390566 3497085
-9505940 3469349
-9505136 3470634
-9521618 3514410
-9518830 3515870
-9532040 3535687
-9556556 3535724
-9555167 3529065
-9608386 3558870
-9594717 3563494
-9617194 3563819
-9623904 3569526
NA NA
-9103397 3087353
-9134624 3076455
-9137998 3117431
-9154167 3117745
-9157043 3100897
-9194215 3185521
-9181752 3237245
-9206921 3239028
-9197398 3218154
-9212890 3218225
-9209733 3375152
-9241802 3397514
-9256555 3413990
NA NA
-8950022 2898553
-8973181 2898623
-9033818 2898144
-9024142 2907676
-9014741 2915167
-9087349 2990378
-9119445 3068017
-9103397 3087353
NA NA
-8955277 3231890
-8985305 3324300
-8997175 3331384
-8918265 3131455
-8927514 2966745
-8950022 2898553
NA NA
-8973711 3328143
-8955277 3231890
NA NA
-9071455 3679916
-9054694 3656432
-9068081 3656432
-9055216 3523347
-8973711 3328143
NA NA
-8832269 3915300
-8892720 3875040
-8924911 3836975
-8963780 3822484
-8973334 3798330
-8979399 3805165
-8995567 3815562
-8991460 3780820
-9022408 3737372
-9041925 3718909
-9042013 3701589
-9064433 3677631
-9071455 3679916
NA NA
-8620240 4130330
-8626701 4093176
-8674722 4040254
